TABELA DE PREÇOS 03/03/2026;;;;;;;;
ABRIDORES E CHAVEIROS;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
GIFT2620;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;120;5;82 x 82;5;R$ 33,50
GIFT2621;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;240;10;82 x 82;5;R$ 60,50
GIFT2622;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;600;25;82 x 82;5;R$ 145,50
GIFT2611;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;24;1;82 x 82;5;R$ 9,50
GIFT2612;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;120;5;82 x 82;5;R$ 33,50
GIFT2613;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;240;10;82 x 82;5;R$ 60,50
GIFT2614;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;600;25;82 x 82;5;R$ 145,50
GIFT1521;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;280;10;55 x 30;5;R$ 65,50
GIFT1522;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;140;5;55 x 30;5;R$ 35,50
GIFT1523;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;28;1;55 x 30;5;R$ 9,50
GIFT1539;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;280;10;55 x 30;5;R$ 65,50
GIFT1540;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;140;5;55 x 30;5;R$ 35,50
GIFT1541;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;28;1;55 x 30;5;R$ 9,50
GIFT1534;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;281;10;55 x 30;5;R$ 65,50
GIFT1535;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;141;5;55 x 30;5;R$ 35,50
GIFT1536;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;29;1;55 x 30;5;R$ 9,50
GIFT1531;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;280;10;55 x 30;5;R$ 65,50
GIFT1532;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;140;5;55 x 30;5;R$ 35,50
GIFT1533;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;28;1;55 x 30;5;R$ 9,50
GIFT1528;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;28;1;55 x 30;5;R$ 9,50
GIFT2407;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;100;10;60 x 12;2;R$ 32,50
GIFT2408;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;250;25;60 x 12;2;R$ 73,50
GIFT2409;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;500;50;60 x 12;2;R$ 139,50
GIFT2410;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1000;100;60 x 12;2;R$ 267,99
